page;2019-02 pi;2019-02 v;2019-03 pi;2019-03 v;2019-04 pi;2019-04 v;2019-05 pi;2019-05 v;2019-06 pi;2019-06 v;2019-07 pi;2019-07 v;2019-08 pi;2019-08 v;2019-09 pi;2019-09 v;2019-10 pi;2019-10 v;2019-11 pi;2019-11 v;2019-12 pi;2019-12 v;2020-01 pi;2020-01 v;2020-02 pi;2020-02 v;2020-03 pi;2020-03 v;2020-04 pi;2020-04 v;2020-05 pi;2020-05 v;2020-06 pi;2020-06 v;2020-07 pi;2020-07 v;2020-08 pi;2020-08 v;2020-09 pi;2020-09 v;2020-10 pi;2020-10 v;2020-11 pi;2020-11 v;2020-12 pi;2020-12 v;2021-01 pi;2021-01 v;2021-02 pi;2021-02 v;2021-03 pi;2021-03 v;2021-04 pi;2021-04 v;2021-05 pi;2021-05 v;2021-06 pi;2021-06 v;2021-07 pi;2021-07 v;2021-08 pi;2021-08 v;2021-09 pi;2021-09 v;2021-10 pi;2021-10 v;2021-11 pi;2021-11 v;2021-12 pi;2021-12 v;2022-01 pi;2022-01 v;2022-02 pi;2022-02 v;2022-03 pi;2022-03 v;2022-04 pi;2022-04 v;2022-05 pi;2022-05 v;2022-06 pi;2022-06 v;2022-07 pi;2022-07 v;2022-08 pi;2022-08 v;2022-09 pi;2022-09 v;2022-10 pi;2022-10 v
zweiter-bildungsweg;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZW5lcmdpZX;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zuwendungsdatenbank;31;28;22;21;31;27;16;15;27;23;18;18;21;17;21;17;14;12;23;20;14;12;20;18;15;14;20;17;11;11;12;11;22;20;37;27;8;6;6;5;8;8;14;12;6;6;6;6;9;8;9;7;9;9;6;6;6;5;1;1;1;1;6;6;5;5;8;8;6;6;5;5;2;2;;;7;5;2;2;8;8;5;5;6;6;6;6;13;11
zuwendungen-berlin;;;;;;;;;;;;;;;;;;;;;;;;;10;8;5;5;4;3;;;;;7;2;1;1;;;2;2;1;1;1;1;;;;;1;1;;;;;1;1;;;1;1;;;1;1;;;;;2;2;;;1;1;;;;;1;1;;;;;;;3;3
zuschüsse-zum-religions-und-weltanschauungsunterrichts;;;3;2;;;1;1;1;1;;;1;1;1;1;;;7;6;1;1;2;2;1;1;7;5;;;5;3;;;2;2;;;;;;;3;3;;;2;2;;;;;;;2;1;1;1;;;;;;;;;1;1;;;;;1;1;;;;;1;1;;;;;2;2;1;1;;
zukunftsorte-berlin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;5;2;2;1;1;1;1;;;2;2;3;3;1;1;1;1;;;3;3;1;1;2;2;2;2;3;3;1;1;1;1;2;2;;;;;;;1;1;1;1;;
zugriffsstatistik-datenberlinde-historisch;;;;;;;;;;;;;;;;;;;;;;;25;18;7;7;2;2;1;1;2;2;7;7;1;1;;;6;2;2;2;2;2;1;1;;;2;1;5;4;2;1;2;2;1;1;;;;;;;;;4;2;1;1;;;;;;;;;;;8;3;;;1;1;;;1;1
zugriffsstatistik-datenberlinde;64;60;46;43;55;49;59;46;35;30;34;29;18;17;33;29;82;73;69;62;43;39;39;28;22;19;27;24;38;33;29;26;44;33;42;25;54;21;37;12;12;12;38;26;13;11;7;7;16;14;18;12;11;11;12;10;11;10;9;9;13;11;4;4;21;15;6;6;7;6;12;12;5;4;11;10;3;2;11;11;24;15;5;5;8;7;4;4;19;17
zugriffsstatistik-berlinde;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zu-erwartender-mittlerer-höchster-grundwasserstand-zemhgw-umweltatlas-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;1;1
zu-erwartender-mittlerer-höchster-grundwasserstand-zemhgw-flurabstand-umweltatlas-wms-0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;4;4;5;5;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zu-erwartender-mittlerer-höchster-grundwasserstand-zemhgw-flurabstand-umweltatlas-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;2;1;;;;;1;1;;;;;;;;;;;1;1;1;1;;;5;5;3;3;;;2;2
zu-erwartender-mittlerer-höchster-grundwasserstand-zemhgw-flurabstand-umweltatlas-atom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;3;3;9;8;4;4;3;3;1;1;1;1;;;;;;;1;1;;;;;;;;;;;1;1;;;;;;;2;2;;;1;1
zu-erwartender-höchster-grundwasserstand-zehgw-umweltatlas-wms;1;1;2;2;6;6;2;2;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;1;1;1;1;;;6;3;1;1;2;2;3;2;3;2;1;1;;
ZmFtaWxpZW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zierbrunnen-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;1;1;1;;;1;1;1;1;;;1;1;2;2;;;1;1
zierbrunnen-wfs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;6;;;;;;;1;1;;;1;1;1;1;3;3;1;1;;
xFCbersicht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
www.vbb.de;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
www.statistik-berlin-brandenburg.de;16;12;34;28;27;22;18;15;;;2;2;;;1;1;1;1;1;1;1;1;;;8;2;1;1;;;3;3;4;2;;;;;;;;;;;;;1;1;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;
www.statistik-berlin-brandenburg;;;;;;;2;1;;;;;;;;;;;;;;;2;1;;;;;;;;;1;1;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;2;1;1;;;;;;;;;;
www.statistik-bbb.de;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
www.projektzukunft.berlin.de;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
www.lichtenberg.berlin.de;;;2;2;;;;;;;1;1;;;1;1;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
www.emo-berlin.de;12;3;7;3;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
www.bing.com;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnräume-2018-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnräume-2014-wms;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnräume-2014-v-2-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnräume-2014-lor-v-2-wms-0;1;1;2;2;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnlagenkarte-nach-adressen-zum-berlinermietspiegel-2019-wms-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnlagenkarte-nach-adressen-zum-berliner-mietspiegel-2021-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;8;8;7;5;7;3;1;1;6;6;11;8;3;3;8;8;5;4;2;2;8;7;;;;;7;4;16;8;8;3
wohnlagenkarte-nach-adressen-zum-berliner-mietspiegel-2019-wms-1;;;;;;;;;;;;;5;4;14;13;20;13;16;13;17;13;27;24;32;31;42;34;110;82;63;54;52;41;45;33;62;24;30;17;15;13;52;43;28;20;16;15;19;15;22;14;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;
wohnlagenkarte-nach-adressen-zum-berliner-mietspiegel-2019-wms-0;;;;;;;20;18;36;33;11;11;10;9;;;1;1;1;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnlagenkarte-nach-adressen-zum-berliner-mietspiegel-2019-wms;;;;;;;13;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16;14;12;10;2;2;3;3;5;3;3;2;;;1;1;;;;;5;3;5;5;;;1;1;;;;;1;1;;;3;3
wohnlagenkarte-nach-adressen-zum-berliner-mietspiegel-2017-wms-2;;;;;;;;;;;;;;;4;3;1;1;;;1;1;2;2;5;4;2;2;9;6;5;5;2;2;5;4;9;5;2;1;1;1;;;5;4;1;1;4;4;1;1;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnlagenkarte-nach-adressen-zum-berliner-mietspiegel-2017-wms-1;7;6;5;5;5;4;6;6;2;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnlagenkarte-nach-adressen-zum-berliner-mietspiegel-2017-wms;;;;;;;;;;;2;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;1;1;2;2;;;1;1;1;1;;;1;1;1;1;;;3;2;2;2;3;2;4;4;1;1;1;1;4;3;2;2;1;1
wohnlagenkarte-nach-adressen-zum-berliner-mietspiegel-2015-wms-1;;;;;;;;;;;;;2;1;1;1;2;2;1;1;1;1;1;1;2;1;1;1;1;1;;;;;;;3;2;;;1;1;6;5;2;2;;;2;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnlagenkarte-nach-adressen-zum-berliner-mietspiegel-2015-wms-0;1;1;3;2;;;4;4;3;3;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnlagenkarte-nach-adressen-zum-berliner-mietspiegel-2015-wms;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;3;2;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;2;2;1;1;;
wohnlagenkarte-nach-adressen-zum-berliner-mietspiegel-2013-wms-0;;;;;;;;;;;;;;;;;;;1;1;;;;;1;1;1;1;;;;;1;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnlagenkarte-nach-adressen-zum-berliner-mietspiegel-2013-wms;;;;;;;;;1;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;1;1;;;1;1;;;;;;;1;1;;;;
wohnlagenkarte-nach-adressen-zum-berliner-mietspiegel-2011-wms;;;;;;;;;;;;;;;1;1;;;;;;;;;1;1;1;1;1;1;4;1;;;3;2;4;1;;;;;;;;;;;;;;;;;;;;;2;2;1;1;;;2;1;;;1;1;;;;;;;;;;;;;;;;;;;;
wohnlagenkarte-nach-adressen-zum-berliner-mietspiegel-2011;;;;;;;2;1;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;
wohnlagenkarte-nach-adressen-zum-berliner-mietspiegel-2009-wms-0;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;1;1;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnlagenkarte-nach-adressen-zum-berliner-mietspiegel-2009-wms;;;;;;;;;3;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;;;;;;;;;;;;;;;1;1
wohnlagenkarte-nach-adressen-zum-berliner-mietspiegel-2007-wms-0;;;;;;;;;;;;;;;;;;;2;1;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnlagenkarte-nach-adressen-zum-berliner-mietspiegel-2007-wms;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnlagenkarte-nach-adressen-zum-berliner-mietspiegel-2005-wms-0;;;;;;;;;;;;;;;1;1;;;;;;;;;;;1;1;;;;;;;;;;;2;1;1;1;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnlagenkarte-nach-adressen-zum-berliner-mietspiegel-2005-wms;;;;;;;;;1;1;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnlagenkarte-nach-adressen-zum-berliner-mietspiegel-2003-wms;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;
wohnlagen-zum-berliner-mietspiegel-2021-wfs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;4;6;6;8;7;8;8;;;;;2;2;1;1;1;1;1;1;2;2;5;5;5;3;3;3;2;2;7;6;3;2
wohnlagen-zum-berliner-mietspiegel-2019-wfs-1;;;;;;;;;;;;;2;2;5;5;13;9;8;7;4;4;6;5;10;8;9;7;9;8;11;9;2;2;2;2;16;7;2;2;10;7;19;15;2;2;1;1;3;3;13;10;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
wohnlagen-zum-berliner-mietspiegel-2019-wfs-0;;;;;;;22;20;26;22;7;7;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnlagen-zum-berliner-mietspiegel-2019-wfs;;;;;;;70;58;11;9;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;3;6;5;1;1;2;2;;;1;1;;;;;;;;;;;1;1;;;;;;;;;;;;;;
wohnlagen-zum-berliner-mietspiegel-2017-wfs-2;;;;;;;;;;;;;;;2;2;1;1;;;;;2;1;2;2;1;1;;;1;1;;;2;1;;;;;;;1;1;1;1;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnlagen-zum-berliner-mietspiegel-2017-wfs-1;;;2;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnlagen-zum-berliner-mietspiegel-2017-wfs;;;1;1;;;2;2;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;;;;;2;2;;;;;;;;;;;;;;;;;;;;;;;;;3;2;;
wohnlagen-zum-berliner-mietspiegel-2013-wfs-0;;;;;;;;;;;;;;;;;6;5;4;2;1;1;1;1;1;1;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
wohnlagen-zum-berliner-mietspiegel-2013-wfs;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;;
wohnlagen-nach-adressen-zum-berliner-mietspiegel-2021-wfs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;2;4;3;;;;;;;;;;;;;;;;;;;;;;;;
wohnlagen-nach-adressen-zum-berliner-mietspiegel-2019-wfs;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;3;;;;;;;;;;;;;;;;;;;;;;;;;;
